id,orig,syn,contig,start,len,seed
pair_001,Homo_Sapiens/orig.chr1.165826768.300000.fa,Homo_Sapiens/syn_chr1:165826769-166126768.fasta,chr1,165826768,300000,1337
pair_002,Homo_Sapiens/orig.chr1.248446519.300000.fa,Homo_Sapiens/syn_chr1:248446520-248746519.fasta,chr1,248446519,300000,1337
pair_003,Homo_Sapiens/orig.chr1.190556956.300000.fa,Homo_Sapiens/syn_chr1:190556957-190856956.fasta,chr1,190556956,300000,1337
pair_004,Homo_Sapiens/orig.chr2.98206671.300000.fa,Homo_Sapiens/syn_chr2:98206672-98506671.fasta,chr2,98206671,300000,1337
pair_005,Homo_Sapiens/orig.chr2.153271003.300000.fa,Homo_Sapiens/syn_chr2:153271004-153571003.fasta,chr2,153271003,300000,1337
pair_006,Homo_Sapiens/orig.chr2.157246095.300000.fa,Homo_Sapiens/syn_chr2:157246096-157546095.fasta,chr2,157246095,300000,1337
pair_007,Homo_Sapiens/orig.chr3.196466523.300000.fa,Homo_Sapiens/syn_chr3:196466524-196766523.fasta,chr3,196466523,300000,1337
pair_008,Homo_Sapiens/orig.chr3.44476341.300000.fa,Homo_Sapiens/syn_chr3:44476342-44776341.fasta,chr3,44476341,300000,1337
pair_009,Homo_Sapiens/orig.chr3.89332454.300000.fa,Homo_Sapiens/syn_chr3:89332455-89632454.fasta,chr3,89332454,300000,1337
pair_010,Homo_Sapiens/orig.chr4.102999975.300000.fa,Homo_Sapiens/syn_chr4:102999976-103299975.fasta,chr4,102999975,300000,1337
pair_011,Homo_Sapiens/orig.chr4.170422670.300000.fa,Homo_Sapiens/syn_chr4:170422671-170722670.fasta,chr4,170422670,300000,1337
pair_012,Homo_Sapiens/orig.chr5.96595253.300000.fa,Homo_Sapiens/syn_chr5:96595254-96895253.fasta,chr5,96595253,300000,1337
pair_013,Homo_Sapiens/orig.chr5.82579708.300000.fa,Homo_Sapiens/syn_chr5:82579709-82879708.fasta,chr5,82579708,300000,1337
pair_014,Homo_Sapiens/orig.chr6.105106262.300000.fa,Homo_Sapiens/syn_chr6:105106263-105406262.fasta,chr6,105106262,300000,1337
pair_015,Homo_Sapiens/orig.chr6.55014773.300000.fa,Homo_Sapiens/syn_chr6:55014774-55314773.fasta,chr6,55014773,300000,1337
pair_016,Homo_Sapiens/orig.chr7.97944853.300000.fa,Homo_Sapiens/syn_chr7:97944854-98244853.fasta,chr7,97944853,300000,1337
pair_017,Homo_Sapiens/orig.chr7.29336880.300000.fa,Homo_Sapiens/syn_chr7:29336881-29636880.fasta,chr7,29336880,300000,1337
pair_018,Homo_Sapiens/orig.chrX.114215973.300000.fa,Homo_Sapiens/syn_chrX:114215974-114515973.fasta,chrX,114215973,300000,1337
pair_019,Homo_Sapiens/orig.chrX.107035699.300000.fa,Homo_Sapiens/syn_chrX:107035700-107335699.fasta,chrX,107035699,300000,1337
pair_020,Homo_Sapiens/orig.chr8.17540413.300000.fa,Homo_Sapiens/syn_chr8:17540414-17840413.fasta,chr8,17540413,300000,1337
pair_021,Homo_Sapiens/orig.chr8.135665409.300000.fa,Homo_Sapiens/syn_chr8:135665410-135965409.fasta,chr8,135665409,300000,1337
pair_022,Homo_Sapiens/orig.chr9.93442902.300000.fa,Homo_Sapiens/syn_chr9:93442903-93742902.fasta,chr9,93442902,300000,1337
pair_023,Homo_Sapiens/orig.chr9.108337203.300000.fa,Homo_Sapiens/syn_chr9:108337204-108637203.fasta,chr9,108337203,300000,1337
pair_024,Homo_Sapiens/orig.chr10.108278696.300000.fa,Homo_Sapiens/syn_chr10:108278697-108578696.fasta,chr10,108278696,300000,1337
pair_025,Homo_Sapiens/orig.chr10.83443171.300000.fa,Homo_Sapiens/syn_chr10:83443172-83743171.fasta,chr10,83443171,300000,1337
pair_026,Homo_Sapiens/orig.chr11.4785042.300000.fa,Homo_Sapiens/syn_chr11:4785043-5085042.fasta,chr11,4785042,300000,1337
pair_027,Homo_Sapiens/orig.chr11.94803254.300000.fa,Homo_Sapiens/syn_chr11:94803255-95103254.fasta,chr11,94803254,300000,1337
pair_028,Homo_Sapiens/orig.chr12.79786642.300000.fa,Homo_Sapiens/syn_chr12:79786643-80086642.fasta,chr12,79786642,300000,1337
pair_029,Homo_Sapiens/orig.chr12.15909813.300000.fa,Homo_Sapiens/syn_chr12:15909814-16209813.fasta,chr12,15909813,300000,1337
pair_030,Homo_Sapiens/orig.chr13.61865471.300000.fa,Homo_Sapiens/syn_chr13:61865472-62165471.fasta,chr13,61865471,300000,1337
pair_031,Homo_Sapiens/orig.chr14.33068640.300000.fa,Homo_Sapiens/syn_chr14:33068641-33368640.fasta,chr14,33068640,300000,1337
pair_032,Homo_Sapiens/orig.chr15.22980413.300000.fa,Homo_Sapiens/syn_chr15:22980414-23280413.fasta,chr15,22980413,300000,1337
pair_033,Homo_Sapiens/orig.chr16.81146985.300000.fa,Homo_Sapiens/syn_chr16:81146986-81446985.fasta,chr16,81146985,300000,1337
pair_034,Homo_Sapiens/orig.chr17.61358652.300000.fa,Homo_Sapiens/syn_chr17:61358653-61658652.fasta,chr17,61358652,300000,1337
pair_035,Homo_Sapiens/orig.chr18.35548395.300000.fa,Homo_Sapiens/syn_chr18:35548396-35848395.fasta,chr18,35548395,300000,1337
pair_036,Homo_Sapiens/orig.chr20.53954922.300000.fa,Homo_Sapiens/syn_chr20:53954923-54254922.fasta,chr20,53954922,300000,1337
pair_037,Homo_Sapiens/orig.chrY.4516444.300000.fa,Homo_Sapiens/syn_chrY:4516445-4816444.fasta,chrY,4516444,300000,1337
pair_038,Homo_Sapiens/orig.chr19.42838960.300000.fa,Homo_Sapiens/syn_chr19:42838961-43138960.fasta,chr19,42838960,300000,1337
pair_039,Homo_Sapiens/orig.chr22.35261911.300000.fa,Homo_Sapiens/syn_chr22:35261912-35561911.fasta,chr22,35261911,300000,1337
pair_040,Homo_Sapiens/orig.chr21.41518456.300000.fa,Homo_Sapiens/syn_chr21:41518457-41818456.fasta,chr21,41518456,300000,1337
