tag,window_id,src_record,phylotag,seed_fasta,natref_fasta,seed_len,target_len
Publish_Human,Publish_Human.w00,orig|orig.chr1.165826768.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__PRIMATES;F__HOMINIDAE;G__HOMO;S__HOMO SAPIENS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w00.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w00.natref.fa,3000,300000
Publish_Human,Publish_Human.w01,orig|orig.chr1.248446519.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__PRIMATES;F__HOMINIDAE;G__HOMO;S__HOMO SAPIENS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w01.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w01.natref.fa,3000,300000
Publish_Human,Publish_Human.w02,orig|orig.chr1.190556956.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__PRIMATES;F__HOMINIDAE;G__HOMO;S__HOMO SAPIENS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w02.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w02.natref.fa,3000,300000
Publish_Human,Publish_Human.w03,orig|orig.chr2.98206671.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__PRIMATES;F__HOMINIDAE;G__HOMO;S__HOMO SAPIENS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w03.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w03.natref.fa,3000,300000
Publish_Human,Publish_Human.w04,orig|orig.chr2.153271003.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__PRIMATES;F__HOMINIDAE;G__HOMO;S__HOMO SAPIENS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w04.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Human.w04.natref.fa,3000,300000
Publish_Mus,Publish_Mus.w00,orig|orig.NC_000067.7.165826768.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__RODENTIA;F__MURIDAE;G__MUS;S__MUS MUSCULUS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w00.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w00.natref.fa,3000,300000
Publish_Mus,Publish_Mus.w01,orig|orig.NC_000067.7.143147386.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__RODENTIA;F__MURIDAE;G__MUS;S__MUS MUSCULUS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w01.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w01.natref.fa,3000,300000
Publish_Mus,Publish_Mus.w02,orig|orig.NC_000067.7.190556956.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__RODENTIA;F__MURIDAE;G__MUS;S__MUS MUSCULUS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w02.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w02.natref.fa,3000,300000
Publish_Mus,Publish_Mus.w03,orig|orig.NC_000068.8.98206671.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__RODENTIA;F__MURIDAE;G__MUS;S__MUS MUSCULUS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w03.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w03.natref.fa,3000,300000
Publish_Mus,Publish_Mus.w04,orig|orig.NC_000068.8.153271003.300000.fa,|D__ANIMALIA;P__CHORDATA;C__MAMMALIA;O__RODENTIA;F__MURIDAE;G__MUS;S__MUS MUSCULUS|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w04.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Mus.w04.natref.fa,3000,300000
Publish_Drosophila,Publish_Drosophila.w00,orig|orig.NC_004354.4.20728346.300000.fa,|D__ANIMALIA;P__ARTHROPODA;C__INSECTA;O__DIPTERA;F__DROSOPHILIDAE;G__DROSOPHILA;S__DROSOPHILA MELANOGASTER|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Drosophila.w00.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Drosophila.w00.natref.fa,3000,300000
Publish_Drosophila,Publish_Drosophila.w01,orig|orig.NC_004354.4.17893423.300000.fa,|D__ANIMALIA;P__ARTHROPODA;C__INSECTA;O__DIPTERA;F__DROSOPHILIDAE;G__DROSOPHILA;S__DROSOPHILA MELANOGASTER|,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Drosophila.w01.seed.fa,/work/11034/atzanakak/ls6/nonbdna/revisions/decoding_sweep/seeds/Publish_Drosophila.w01.natref.fa,3000,300000
